A_X[LSB] A_Y[LSB] A_Z[LSB]
-312 678 16727
-238 973 16627
-200 602 16345
-509 1043 16790
-557 1004 16453
-601 1108 16521
-724 1382 16679
-416 1410 17049
-309 1689 16984
-300 1111 16932
-626 982 17188
-671 655 17048
-688 437 17266
-612 536 16998
-408 558 17081
-396 726 16711
-334 577 16471
-474 809 16644
-419 837 16434
-461 943 16807
-636 973 16407
-682 1292 17128
-523 1355 16987
-289 1268 17000
-206 1429 17206
-288 971 17087
-729 777 17455
-805 463 17170
-740 607 17405
-634 510 17203
-375 378 17002
-453 730 16897
-336 661 16613
-291 951 16748
-222 843 16439
-290 983 16820
-724 1317 16399
-680 1226 16791
-529 1420 16941
-275 1101 16839
-282 1099 17241
-287 1052 16869
-399 560 17253
-770 515 16926
-715 348 17224
-528 567 16750
-230 744 16724
-207 871 16821
-208 787 16335
-528 969 16743
-687 1006 16406
-662 1044 16501
-556 1433 16557
-369 1358 16555
-383 1743 17108
-282 1139 16772
-626 1249 17263
-429 630 16976
-699 613 17345
-785 541 17111
-643 292 16949
-390 731 16982
-6 491 16589
-479 984 16631
-473 729 16625
-598 973 16735
-567 1130 16663
-564 1125 16922
-689 1476 17049
-371 1292 17213
-305 1473 17114
-306 1229 17041
-610 908 17491
-673 459 17059
-616 358 17243
-457 397 17025
-324 484 16962
-418 781 17073
-322 748 16483
-311 963 16797
-405 770 16352
-812 939 16821
-736 950 16766
-607 1110 16770
-235 1460 17059
-142 1464 16964
-519 1306 17351
-612 736 17014
-781 843 17262
-722 688 17214
-514 297 17081
-624 749 17085
-381 661 16655
-376 1085 16703
-141 504 16351
-284 875 16488
-392 1045 16407
-699 1068 16554
-727 1322 16773
-438 1418 16963
-292 1616 17022
-152 1327 16899
-376 1006 17209
-605 742 17088
-638 475 17257
-691 522 16994
-495 516 17055
-465 737 17082
-288 629 16486
-542 815 16703
-508 745 16414
-508 885 16692
-541 1072 16447
-563 1074 16595
-807 1365 16897
-422 1121 16926
-180 1449 17325
-173 1095 17082
-763 983 17557
-844 569 17241
-678 211 17337
-559 600 17287
-420 474 17051
-474 710 17057
-320 658 16580
-248 877 16866
-366 1108 16431
-331 946 16680
-678 1213 16497
-590 1104 16674
-679 1565 17009
-524 1521 16853
-156 1100 17209
-199 950 16799
-397 661 17102
-737 471 17196
-672 237 17025
-664 558 17330
-297 427 16509
-331 934 16914
-221 799 16281
-454 1036 16573
-752 921 16239
-840 901 16433
-776 1371 16834
-259 1296 16497
-388 1764 16988
-342 1169 16997
-548 1216 17248
-469 984 17073
-526 731 17078
-817 515 17142
